UNIDADE,SUBACAO,FONTE,DESPESA,MOD LICITACAO,CREDOR,N.PROCESSO-NE,EMPENHO,DATA NE,DOCUMENT-DC,UGDC,MOD EMPENHO,BANCO,AGENCIA,CONTA,FUNÇÃO,SUBFUNÇÃO,PROGRAMA,AÇÃO,COMPLEMENTO DO EMP.,HISTORICO,Empenhado,Reforco,Anulacao,Saldo Empenho,Liquidado no Exercicio,Empenhos a Liquidar,Pagamentos do Exercicio,Liquidados a Pagar,Total a Pagar,Em Liquidacao
170012 - FES,400903,1600000001,33903036,Pregão Eletrônico - Lei n. 14.133/2021,37981565000107 - LP DO VALLE COMERCIO E FABRICACAO DE ROUPAS LTDA,0036.035847/2025-64,2025NE008600,2025-12-17,,170012,1 - ORDINARIO,001,02757X,0000103330,10,302,2034,4009,1,22055 SESAUHICD Pregão Eletrônico nº 901812024 ATA nº 1382025 Aquisição de Rouparia Hospitalar Enxoval visando atender a Unidade de Saúde do Hospital Infantil Cosme e Damião HICD Autorização 0062721476 Informação 1422 67470894,81212.8,0.0,0.0,81212.8,0.0,81212.8,0.0,0.0,81212.8,0.0
170012 - FES,400903,1600000001,33903036,Pregão Eletrônico - Lei n. 14.133/2021,41977198000145 - MAXXI VIX COMERCIO ATACADISTA E REPRESENTACAO LTDA,0036.052337/2025-51,2025NE007605,2025-11-25,,170012,5 - GLOBAL,001,02757X,0000103330,10,302,2034,4009,1,04025 CGPM Pregão Eletrônico nº 901162024 ata nº 2912024 Aquisição de Material Médico Hospitalar Grupo de Apresentação Aventais para atender as necessidades das unidades de saúde contempladas nesta Rede Estadual do Sistema SUS Ordem de liberação 0066210868 Informação 904 0066521800,644350.0,0.0,0.0,644350.0,0.0,644350.0,0.0,0.0,644350.0,0.0
170012 - FES,400903,1600000001,33903036,Pregão Eletrônico - Lei n. 14.133/2021,41977198000145 - MAXXI VIX COMERCIO ATACADISTA E REPRESENTACAO LTDA,0036.056669/2025-13,2025NE008415,2025-12-15,,170012,1 - ORDINARIO,001,02757X,0000103330,10,302,2034,4009,1,04025 CGPM Pregão Eletrônico nº 903862024 Ata nº 2272025 Aquisição de Material Médico Hospitalar Grupo de Apresentação Sondas para atender as necessidades das unidades de saúde contempladas nesta Rede Estadual do Sistema SUS Ordem de Liberação 0067289355 Informação 1369 0067414342,29050.0,0.0,0.0,29050.0,0.0,29050.0,0.0,0.0,29050.0,0.0
170012 - FES,400903,1600000001,33903036,Pregão Eletrônico - Lei n. 14.133/2021,42043318000108 - FL SHELF REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MERCADORIAS LTDA,0036.028522/2025-25,2025NE003574,2025-06-26,,170012,1 - ORDINARIO,001,02757X,0000103330,10,302,2034,4009,1,04025 PREGÃO ELETRÔNICO Nº 90487 2024 ATA Nº 88 2025 Aquisição de Material Médico Hospitalar Grupo de Apresentação Luvas e EPIS para atender as necessidades das unidades de saúde contempladas nesta Rede Estadual do Sistema SUS Informação 2457 SEI nº 0061614657,42000.0,0.0,-42000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170012 - FES,400903,1600000001,33903036,Pregão Eletrônico - Lei n. 14.133/2021,42735272000180 - 42.735.272 MURILO TOBIAS BOAVENTURA,0036.039834/2025-64,2025NE007160,2025-11-03,,170012,1 - ORDINARIO,001,02757X,0000103330,10,302,2034,4009,1,04025 CGPM ATA Nº 105 2025 PREGÃO ELETRÔNICO Nº 90307 2024 Aquisição de Material Médico Hospitalar Grupo de Apresentação Nefrologia para atender as necessidades das unidades de saúde contempladas nesta Rede Estadual do Sistema SUS Ordem de liberação 0063716182Despacho 0063817939,23880.0,0.0,0.0,23880.0,0.0,23880.0,0.0,0.0,23880.0,0.0
170012 - FES,400903,1600000001,33903036,Pregão Eletrônico - Lei n. 14.133/2021,43307039000169 - Álamo Distribuidora Médico Hospitalar Ltda,0036.053648/2025-38,2025NE007748,2025-11-27,,170012,1 - ORDINARIO,001,02757X,0000103330,10,302,2034,4009,1,04025 CGPM ATA Nº 177 2025 PREGÃO ELETRÔNICO Nº 90219 2025 Aquisição de Material Médico Hospitalar Grupo de Apresentação Drenos para atender as necessidades das unidades de saúde contempladas nesta Rede Estadual do Sistema SUS  Autorização 0066486053 Ordem de liberação 0066544517 Informação 1004 0066847421,31703.5,0.0,0.0,31703.5,0.0,31703.5,0.0,0.0,31703.5,0.0
170012 - FES,400903,1600000001,33903036,Pregão Eletrônico - Lei n. 14.133/2021,43307039000169 - Álamo Distribuidora Médico Hospitalar Ltda,0036.056244/2025-04,2025NE008278,2025-12-11,,170012,1 - ORDINARIO,001,02757X,0000103330,10,302,2034,4009,1,04025 CGPM Pregão Eletrônico nº 903552025 Ata nº 2312025 Aquisição de Material Médico Hospitalar Grupo de Apresentação Sondas para atender as necessidades das unidades de saúde contempladas nesta Rede Estadual do Sistema SUS  Ordem de liberação 0067165766 Informação 1275 0067210363,7237.0,0.0,0.0,7237.0,0.0,7237.0,0.0,0.0,7237.0,0.0
170012 - FES,400903,1600000001,33903036,Pregão Eletrônico - Lei n. 14.133/2021,43456296000162 - TECPLUS LTDA,0036.057666/2025-99,2025NE008840,2025-12-22,,170012,1 - ORDINARIO,001,02757X,0000103330,10,302,2034,4009,1,04025 CGPM Pregão Eletrônico nº 902252024 Ata nº 372055 Aquisição de Material Médico Hospitalar Grupo de Apresentação Bolsas de colostomia para atender as necessidades das unidades de saúde contempladas nesta Rede Estadual do Sistema SUS Ordem de liberação 67508013 Informação 1506 67593673,244128.7,0.0,0.0,244128.7,0.0,244128.7,0.0,0.0,244128.7,0.0
170012 - FES,400903,1600000001,33903036,Pregão Eletrônico - Lei n. 14.133/2021,43556958000176 - ALTERNATIVA DISTRIBUIDORA HOSPITALAR LTDA,0036.052075/2025-25,2025NE007745,2025-11-27,,170012,1 - ORDINARIO,001,02757X,0000103330,10,302,2034,4009,1,04025 CGPM Aquisição de Material Médico Hospitalar Grupo de Apresentação cânulas para atender as necessidades das unidades de saúde contempladas nesta Rede Estadual do Sistema SUS Informação 1003 0066846989,2826.0,0.0,-2826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170012 - FES,400903,1600000001,33903036,Pregão Eletrônico - Lei n. 14.133/2021,43556958000176 - ALTERNATIVA DISTRIBUIDORA HOSPITALAR LTDA,0036.053664/2025-21,2025NE007747,2025-11-27,,170012,1 - ORDINARIO,001,02757X,0000103330,10,302,2034,4009,1,04025 CGPMATA Nº 177 2025 PREGÃO ELETRÔNICO Nº 90219 2025 Aquisição de Material Médico Hospitalar Grupo de Apresentação Drenos para atender as necessidades das unidades de saúde contempladas nesta Rede Estadual do Sistema SUS Informação 1003 0066846989,2826.0,0.0,0.0,2826.0,0.0,2826.0,0.0,0.0,2826.0,0.0
